Kursname,Status
"LF 1: Das Unternehmen und die eigene Rolle im Betrieb beschreiben",offen
"LF 2: Arbeitsplätze nach Kundenwunsch ausstatten",offen
"LF 3: Clients in Netzwerke einbinden",offen
"LF 4: Schutzbedarfsanalyse im eigenen Arbeitsbereich durchführen",offen
"LF 5: Software zur Verwaltung von Daten anpassen",offen
"LF 6: Server in Netzwerke einbinden",offen
"LF 7: Netzwerkinfrastrukturen unterstützen",offen
"LF 8: Services in Netzwerke implementieren",offen
"LF 9: Serverdienste konfigurieren",offen
"LF 10a: Systemintegration realisieren",offen
"LF 11a: Systemintegration überwachen und optimieren",offen
"LF 12a: Netzwerkinfrastruktur realisieren",offen
"LF 13a: Netzwerkinfrastruktur verwalten",offen
